DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegIBlo,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
56,F,2018,2018,La Negra 110,8,EtaMes,0.976758413,0.994977601,0.98913879,0.936488764,0.998124006,0.926198286,0.988679447,0.93304631,0.919694066,0.958695797,0.955003192,0.968832875
57,F,2018,2018,La Negra 110,9,EtaMes,0.938667967,0.967327236,0.916720148,0.961961025,0.925632858,1.03716212,0.881612625,0.926820114,1.034635449,0.951571986,0.939505519,0.95213436
58,F,2018,2018,La Negra 110,10,EtaMes,0.988284113,0.989344193,0.975336934,0.951423233,0.98198588,0.954425458,1.025633343,0.967687807,0.960977418,1.008620806,0.994522723,0.976074499
59,F,2018,2018,La Negra 110,11,EtaMes,0.949208007,0.987058879,0.912635837,0.957533774,0.903853042,1.027437857,0.976267326,0.952880352,1.040988437,0.922145048,0.941140295,0.976665453
60,F,2018,2018,La Negra 110,12,EtaMes,1.002667197,0.96868556,0.988437881,0.980031372,0.972040394,0.910308011,1.025621062,0.980368346,0.953233226,0.985262435,0.99901135,0.98980769
61,F,2018,2018,La Negra 110,13,EtaMes,1.005950442,1.16281617,0.93537645,1.102605754,1.005299661,1.10386804,1.020037245,1.09195783,1.124151299,0.990766314,1.010291301,1.02942922
62,F,2018,2018,La Negra 110,14,EtaMes,1.053303347,1.15219173,0.993993236,1.116287762,1.072728459,0.959792081,1.045712977,1.134652536,1.033593052,1.039748287,1.06165595,0.997201111
63,F,2018,2018,La Negra 110,15,EtaMes,1.178444423,1.194598682,1.135706714,1.206548324,1.163254562,1.28466356,1.190253596,1.169288514,1.250982146,1.121229897,1.111429417,1.185220332
64,F,2018,2018,La Negra 110,16,EtaMes,1.188644461,1.173607089,1.188028296,1.198179685,1.20158505,1.110934914,1.206472864,1.21849644,1.134889699,1.135126176,1.147372682,1.160713591
65,F,2019,2019,La Negra 110,1,EtaMes,1.086085369,1.058644718,1.070819025,1.096470016,1.07476413,1.152126889,1.104330634,1.080003192,1.166941805,1.066089812,1.050248332,1.064650814
66,F,2019,2019,La Negra 110,2,EtaMes,1.033853209,1.057652758,1.067932765,1.051839171,1.063781144,1.026063009,1.086673425,1.099290864,1.001884706,1.01044362,1.026250765,1.036172642
67,F,2019,2019,La Negra 110,3,EtaMes,0.956873577,0.907159337,0.921133927,0.970089368,0.949618639,1.046643214,0.960060346,0.961521021,1.046250318,0.972645999,0.969362971,0.937421378
68,F,2019,2019,La Negra 110,4,EtaMes,0.912184481,0.91882702,0.927223435,0.911001699,0.930774291,0.913877364,0.931742862,0.966033006,0.908214136,0.947207818,0.953406638,0.943169628
69,F,2019,2019,La Negra 110,5,EtaMes,0.914203467,0.86372706,0.87633851,0.885536942,0.869193624,0.996696399,0.845216751,0.921924097,0.989651519,0.936544075,0.928447276,0.923215176
70,F,2019,2019,La Negra 110,6,EtaMes,0.987913004,0.964024401,0.978742336,0.909496964,0.963299051,0.940982191,0.953962847,0.954992477,0.915925045,0.962099862,0.965831134,1.035535305
71,F,2019,2019,La Negra 110,7,EtaMes,0.919300579,0.930151894,0.920883674,0.958182236,0.927141661,1.005688514,0.820636626,0.908604518,0.967772421,0.922644835,0.884535827,0.890518364
72,F,2019,2019,La Negra 110,8,EtaMes,0.976765554,0.994974518,0.989127866,0.936495394,0.998115852,0.926191247,0.988675653,0.933044437,0.919683507,0.958702999,0.955014885,0.968821593
73,F,2019,2019,La Negra 110,9,EtaMes,0.938669605,0.967321209,0.916729462,0.96200195,0.925624039,1.037177147,0.881614245,0.926829816,1.034635216,0.951577948,0.939518051,0.952138075
74,F,2019,2019,La Negra 110,10,EtaMes,0.988283703,0.989346119,0.975338885,0.951417356,0.981986034,0.95442466,1.025637925,0.967693076,0.960973242,1.008622113,0.994518295,0.976073458
75,F,2019,2019,La Negra 110,11,EtaMes,0.949227909,0.987080171,0.912625301,0.957545617,0.903892402,1.027438394,0.976278598,0.95287305,1.040996958,0.922103306,0.941139813,0.976676344
76,F,2019,2019,La Negra 110,12,EtaMes,1.002661531,0.968692447,0.988452181,0.98001698,0.972048151,0.910319644,1.025614246,0.98038126,0.953242935,0.985262528,0.999005169,0.989802048
