DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
74,F,2026,2026,Centro 110,0,EtaMes,0.164266295,0.164954612,0.168012079,0.164706783,0.169135906,0.169490742,0.173247397,0.15989767,0.164631065,0.159233879,0.158116421,0.167391813
75,F,2027,2027,Centro 110,0,EtaMes,0.164499045,0.165188291,0.168246254,0.164936016,0.169369085,0.169724836,0.173489577,0.160120522,0.164861006,0.159453176,0.158335706,0.167621646
76,F,2028,2028,Centro 110,0,EtaMes,0.164721759,0.16541205,0.168470583,0.165155515,0.169592261,0.169948786,0.173721358,0.160333747,0.165081072,0.159660931,0.158543424,0.167839341
77,F,2029,2029,Centro 110,0,EtaMes,0.164932637,0.165624068,0.168683234,0.165363496,0.169803629,0.170160787,0.173940861,0.160535632,0.165289494,0.159856819,0.158739217,0.168044526
78,F,2030,2030,Centro 110,0,EtaMes,0.165131264,0.165824055,0.168884005,0.165559688,0.170002832,0.170360395,0.174147702,0.16072576,0.165485878,0.160047095,0.158929347,0.168243765
79,F,2031,2031,Centro 110,0,EtaMes,0.165324044,0.166018369,0.169079218,0.165750336,0.17019626,0.170554067,0.174348526,0.160910251,0.165676498,0.160221008,0.159103075,0.168425798
80,F,2032,*,Centro 110,0,EtaMes,0.165500043,0.166196053,0.169257909,0.165924674,0.170372965,0.170730811,0.174531956,0.161078681,0.165850637,0.160377861,0.159259686,0.168589876
81,F,2017,2017,Cerro Dragon 110,0,EtaMes,0.067989458,0.066001573,0.064828709,0.062575431,0.064930475,0.065473594,0.066648539,0.071553786,0.071716766,0.068961316,0.069638741,0.069149946
82,F,2018,2018,Cerro Dragon 110,0,EtaMes,0.067027248,0.065066239,0.063902831,0.061682418,0.064000329,0.064537249,0.065700655,0.070531057,0.070690129,0.068369371,0.069043459,0.068555963
83,F,2019,2019,Cerro Dragon 110,0,EtaMes,0.066448555,0.06450321,0.063344754,0.061144586,0.063440512,0.063974322,0.065130558,0.06991812,0.070075581,0.067713655,0.068383785,0.067897702
84,F,2020,2020,Cerro Dragon 110,0,EtaMes,0.065807184,0.063879261,0.062726491,0.060548467,0.062819881,0.063349894,0.064497962,0.069237757,0.069393353,0.067156425,0.067822761,0.067337946
85,F,2021,2021,Cerro Dragon 110,0,EtaMes,0.06526174,0.063349011,0.062201666,0.060041962,0.062292325,0.062818522,0.06395942,0.068658324,0.068812398,0.066581009,0.067243595,0.066760431
86,F,2022,2022,Cerro Dragon 110,0,EtaMes,0.064699223,0.062802378,0.061660871,0.059520275,0.061749244,0.0622718,0.063405515,0.068062676,0.068215404,0.066066056,0.066725267,0.066243448
87,F,2023,2023,Cerro Dragon 110,0,EtaMes,0.064195607,0.062312778,0.061176317,0.059052803,0.061262571,0.061781834,0.062908964,0.067528684,0.067680106,0.065540715,0.066196282,0.065716133
88,F,2024,2024,Cerro Dragon 110,0,EtaMes,0.063682067,0.061814011,0.060683328,0.058577035,0.060767268,0.06128295,0.06240342,0.066985005,0.067135282,0.065158508,0.065811387,0.065332416
89,F,2025,2025,Cerro Dragon 110,0,EtaMes,0.063308315,0.061450969,0.060324471,0.058230629,0.060406627,0.060919633,0.06203515,0.066589028,0.066738499,0.064909736,0.065560888,0.065082717
90,F,2026,2026,Cerro Dragon 110,0,EtaMes,0.063065062,0.061214713,0.060090968,0.058005175,0.060171954,0.060683211,0.061795468,0.066331485,0.066480542,0.064669921,0.06531934,0.064841997
91,F,2027,2027,Cerro Dragon 110,0,EtaMes,0.062830578,0.060987091,0.059866161,0.057788053,0.059945937,0.060455425,0.061564535,0.066083326,0.066232022,0.064433753,0.065081428,0.064604931
92,F,2028,2028,Cerro Dragon 110,0,EtaMes,0.06259967,0.060762999,0.059644923,0.05757435,0.059723471,0.060231177,0.061337184,0.065839001,0.065987359,0.06420368,0.064849623,0.064373977
93,F,2029,2029,Cerro Dragon 110,0,EtaMes,0.06237473,0.060544753,0.059429535,0.057366271,0.059506853,0.060012784,0.061115763,0.065601043,0.065749087,0.063974783,0.064618942,0.064144191
94,F,2030,2030,Cerro Dragon 110,0,EtaMes,0.062150951,0.060327731,0.05921549,0.05715944,0.059291517,0.059795613,0.060895579,0.065364385,0.065512143,0.063743612,0.064385923,0.06391211
95,F,2031,2031,Cerro Dragon 110,0,EtaMes,0.061924956,0.060108628,0.058999489,0.056950691,0.059074171,0.059576362,0.060673285,0.065125432,0.065272912,0.063520512,0.06416099,0.063688123
96,F,2032,*,Cerro Dragon 110,0,EtaMes,0.061706861,0.059897271,0.058791244,0.056749391,0.058864568,0.059364861,0.060458845,0.064894909,0.065042149,0.063303725,0.06394236,0.063470461
97,F,2017,2017,Chinchorro 066,0,EtaMes,0.056653392,0.05401256,0.050400862,0.053471263,0.055159795,0.054014344,0.054233,0.054035923,0.055655202,0.06263353,0.057372099,0.054871792
98,F,2018,2018,Chinchorro 066,0,EtaMes,0.056746955,0.054100716,0.050477464,0.053553125,0.055241199,0.054095384,0.05431872,0.054117432,0.055737909,0.062619739,0.057361525,0.054859375
99,F,2019,2019,Chinchorro 066,0,EtaMes,0.0567316,0.054085015,0.05045874,0.053534008,0.055219936,0.054075902,0.05430164,0.0540997,0.055719464,0.062627977,0.057371176,0.054865982
100,F,2020,2020,Chinchorro 066,0,EtaMes,0.056735549,0.054087633,0.050456742,0.05353248,0.055216489,0.054073744,0.054302097,0.054099165,0.055718647,0.062702049,0.057440487,0.054930049
101,F,2021,2021,Chinchorro 066,0,EtaMes,0.056799254,0.054147694,0.050509406,0.053588441,0.055272392,0.054129036,0.054359714,0.05415553,0.055776519,0.062771762,0.057506026,0.054990673
102,F,2022,2022,Chinchorro 066,0,EtaMes,0.056859473,0.054204582,0.050559141,0.053641506,0.055325473,0.054181844,0.054415103,0.054209876,0.055832484,0.062818738,0.057550571,0.055031293
103,F,2023,2023,Chinchorro 066,0,EtaMes,0.056899174,0.054241777,0.050590648,0.053675171,0.055358664,0.054215072,0.054450497,0.054244357,0.055867908,0.06291865,0.057643494,0.055118345
