CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,1,2,3,4,5,6,7,8,9,10,11,12
95,F,2030,2030,*,CARBON_MEJILLONES,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
96,F,2031,*,*,CARBON_MEJILLONES,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
97,F,2016,2016,*,CARBON_NORGENER,CenCosVar,EtaMes,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67
98,F,2017,2017,*,CARBON_NORGENER,CenCosVar,EtaMes,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67
99,F,2018,2018,*,CARBON_NORGENER,CenCosVar,EtaMes,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67
100,F,2019,2019,*,CARBON_NORGENER,CenCosVar,EtaMes,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,94.67,95.61,95.61,95.61
101,F,2020,2020,*,CARBON_NORGENER,CenCosVar,EtaMes,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61
102,F,2021,2021,*,CARBON_NORGENER,CenCosVar,EtaMes,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,95.61,85.14,85.14,85.14
103,F,2022,2022,*,CARBON_NORGENER,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
104,F,2023,2023,*,CARBON_NORGENER,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
105,F,2024,2024,*,CARBON_NORGENER,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
106,F,2025,2025,*,CARBON_NORGENER,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
107,F,2026,2026,*,CARBON_NORGENER,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
108,F,2027,2027,*,CARBON_NORGENER,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
109,F,2028,2028,*,CARBON_NORGENER,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
110,F,2029,2029,*,CARBON_NORGENER,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
111,F,2030,2030,*,CARBON_NORGENER,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
112,F,2031,*,*,CARBON_NORGENER,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
113,F,2016,2016,*,CARBON_TARAPACA,CenCosVar,EtaMes,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82
114,F,2017,2017,*,CARBON_TARAPACA,CenCosVar,EtaMes,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82
115,F,2018,2018,*,CARBON_TARAPACA,CenCosVar,EtaMes,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82
116,F,2019,2019,*,CARBON_TARAPACA,CenCosVar,EtaMes,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,97.79,97.79,97.79
117,F,2020,2020,*,CARBON_TARAPACA,CenCosVar,EtaMes,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79
118,F,2021,2021,*,CARBON_TARAPACA,CenCosVar,EtaMes,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,85.14,85.14,85.14
