DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndIBlo,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
93,F,2020,2020,Alto Norte 110,13,EtaMes,1.037647045,1.071266616,1.04416094,1.04426982,1.02626418,1.156514573,1.040439153,1.083125298,1.178761612,1.072550065,1.085073906,1.082963901
94,F,2020,2020,Alto Norte 110,14,EtaMes,1.023775791,1.010994667,1.014338441,0.979561333,0.990814235,0.926010029,1.009482812,1.0049739,0.972231357,1.034474104,1.039384754,1.02173868
95,F,2020,2020,Alto Norte 110,15,EtaMes,1.063642471,1.038731307,1.058195057,1.058684588,1.040396782,1.152493236,1.016644618,1.018037044,1.146189934,1.03940462,1.024589204,1.057850477
96,F,2020,2020,Alto Norte 110,16,EtaMes,1.019333099,1.010141841,1.031295389,1.003458199,1.015016922,0.954202562,1.028030407,0.984848426,0.948594203,0.985930032,0.989476071,1.005110287
97,F,2021,2021,Alto Norte 110,1,EtaMes,1.023510204,1.012498059,0.994537682,1.003969883,1.008892332,1.065820869,0.996135847,0.960457065,1.087758276,1.019290795,0.976775938,1.003840161
98,F,2021,2021,Alto Norte 110,2,EtaMes,0.983364197,0.989074314,0.988416863,0.98140394,0.972585722,0.924437831,1.010425861,0.965937923,0.930665795,0.987691478,0.987711583,0.97015172
99,F,2021,2021,Alto Norte 110,3,EtaMes,1.007426928,0.990142111,0.995170994,0.998916099,1.040966839,1.078121518,1.009584536,0.982711105,1.089953338,1.015413305,1.000585761,1.016917927
100,F,2021,2021,Alto Norte 110,4,EtaMes,0.987789853,1.005449567,0.98598077,1.009126735,0.988925095,0.927818466,0.988366386,0.990507251,0.91833116,0.978955497,0.97743285,0.986317266
101,F,2021,2021,Alto Norte 110,5,EtaMes,0.998155476,1.022113557,0.991475474,1.018093578,1.027486985,1.087212472,1.001272123,1.009955256,1.139537096,1.001563504,0.99909805,1.00645366
102,F,2021,2021,Alto Norte 110,6,EtaMes,0.963426837,0.996362964,0.990827768,1.007552952,1.008527507,0.950518064,1.001448278,1.015761556,0.958818234,0.966940034,0.976824885,0.980443252
103,F,2021,2021,Alto Norte 110,7,EtaMes,1.049786407,1.025628281,0.999917238,1.037676514,1.035240803,1.103852505,1.018220286,1.033101248,1.128868228,1.011353881,1.026572409,1.021479669
104,F,2021,2021,Alto Norte 110,8,EtaMes,0.969984128,0.986924517,0.980618307,0.981017176,0.982772135,0.956730624,0.981043817,1.025669459,0.957855446,0.971224293,0.993033855,0.984744929
105,F,2021,2021,Alto Norte 110,9,EtaMes,1.06584133,1.04230712,1.03078761,1.03890441,1.042889423,1.140128542,1.039968238,1.046117553,1.130729534,1.076762759,1.027928554,1.069784436
106,F,2021,2021,Alto Norte 110,10,EtaMes,0.972553947,0.953592178,0.964879959,0.951278806,0.955591667,0.930387085,0.965660569,0.974518229,0.925161881,0.974214038,0.985461523,0.950668797
107,F,2021,2021,Alto Norte 110,11,EtaMes,1.047064513,1.037273982,1.052435373,1.051552323,1.022067474,1.146158646,1.04311266,1.069902032,1.138707703,1.048821118,1.060255226,1.069145509
108,F,2021,2021,Alto Norte 110,12,EtaMes,1.00621419,0.96086711,1.001083108,0.957457595,0.961172862,0.930005935,0.977786002,0.952222864,0.947811993,0.983588637,1.001421714,0.967146197
109,F,2021,2021,Alto Norte 110,13,EtaMes,1.037651295,1.07127563,1.044166331,1.04425412,1.026268139,1.15651096,1.040443962,1.083122901,1.178758429,1.072552264,1.085076178,1.082970722
110,F,2021,2021,Alto Norte 110,14,EtaMes,1.02377247,1.010995138,1.014339484,0.97956917,0.990820041,0.926012146,1.009484433,1.004975476,0.972232239,1.034474097,1.039383472,1.021743587
111,F,2021,2021,Alto Norte 110,15,EtaMes,1.063636879,1.038727999,1.058194556,1.058689113,1.040393691,1.152494072,1.016646141,1.018034485,1.146182239,1.039402192,1.0245845,1.057850317
112,F,2021,2021,Alto Norte 110,16,EtaMes,1.019333926,1.010138125,1.03129318,1.003456556,1.015017308,0.954206196,1.028029772,0.984849724,0.948592375,0.985928465,0.989475369,1.005109024
113,F,2022,2022,Alto Norte 110,1,EtaMes,1.023515221,1.012496472,0.994535342,1.003974802,1.008896327,1.065818908,0.996131693,0.960452586,1.087752789,1.019281923,0.976779327,1.003840313
114,F,2022,2022,Alto Norte 110,2,EtaMes,0.983364907,0.989074669,0.98841793,0.981404791,0.972583627,0.924437412,1.010425564,0.965935769,0.930666756,0.987689532,0.987711383,0.970152873
