DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
110,F,2030,2030,Chapiquiña 066,0,F,EtaMes,0.0160391,0.018169423,0.0192737,0.02077666,0.020769138,0.017511972,0.01734648,0.014760305,0.013901256,0.015674511,0.008816736,0.00957642
111,F,2031,2031,Chapiquiña 066,0,F,EtaMes,0.016200288,0.018352019,0.019467394,0.020985458,0.02097786,0.017687961,0.017520806,0.014908641,0.014040958,0.016047953,0.009026793,0.009804576
112,F,2032,*,Chapiquiña 066,0,F,EtaMes,0.016586256,0.018789251,0.0199312,0.021485432,0.021477653,0.018109372,0.017938235,0.015263836,0.014375481,0.016608802,0.009342264,0.010147229
113,F,2017,2017,Chuquicamata 110,0,F,EtaMes,0.667351042,0.768621438,0.700682743,0.753392109,0.718299815,0.720911431,0.748697796,0.73212603,0.782253406,0.852761226,0.765113109,0.823504912
114,F,2018,2018,Chuquicamata 110,0,F,EtaMes,0.773364244,0.890722124,0.81199091,0.873073513,0.832406573,0.835433061,0.867633477,0.848429174,0.906519621,0.846323684,0.759337228,0.817288229
115,F,2019,2019,Chuquicamata 110,0,F,EtaMes,0.767526075,0.883998013,0.805861146,0.866482633,0.82612269,0.82912633,0.861083665,0.842024335,0.899676255,0.978966435,0.878346753,0.945380306
116,F,2020,2020,Chuquicamata 110,0,F,EtaMes,0.887819022,1.022545393,0.932162278,1.002284859,0.955599376,0.959073772,0.99603972,0.973993258,1.040680856,0.998155676,0.895563693,0.963911207
117,F,2021,2021,Chuquicamata 110,0,F,EtaMes,0.905221634,1.042588847,0.950434085,1.021931177,0.974330586,0.977873086,1.015563623,0.993085016,1.061079793,1.090997418,0.978863018,1.053567759
118,F,2022,2022,Chuquicamata 110,0,F,EtaMes,0.989419275,1.139563465,1.038837085,1.116984356,1.064956279,1.068828278,1.110024536,1.08545512,1.159774315,1.041173162,0.934159776,1.00545286
119,F,2023,2023,Chuquicamata 110,0,F,EtaMes,0.944233944,1.087521269,0.991394915,1.065973315,1.016321283,1.020016454,1.059331339,1.035883972,1.106809118,1.133609135,1.017095037,1.094717564
120,F,2024,2024,Chuquicamata 110,0,F,EtaMes,1.028063596,1.184072055,1.079411546,1.160611061,1.106550892,1.110574122,1.153379406,1.127850368,1.205072291,1.222247808,1.09662329,1.180315244
121,F,2025,2025,Chuquicamata 110,0,F,EtaMes,1.108449498,1.276656502,1.163812424,1.251361056,1.193073838,1.197411651,1.243563947,1.216038754,1.29929878,1.183182409,1.061573093,1.14259009
122,F,2026,2026,Chuquicamata 110,0,F,EtaMes,1.073021312,1.235852095,1.126614732,1.211365141,1.154940895,1.159140063,1.203817243,1.177171808,1.257770682,1.218760201,1.093494145,1.176947289
123,F,2027,2027,Chuquicamata 110,0,F,EtaMes,1.105286607,1.273013643,1.160491559,1.247790376,1.189669477,1.193994912,1.240015516,1.212568864,1.295591313,1.264700521,1.134712647,1.2213115
124,F,2028,2028,Chuquicamata 110,0,F,EtaMes,1.146949618,1.320999008,1.204235482,1.294824968,1.234513242,1.239001721,1.28675704,1.258275805,1.344427727,1.315302434,1.180113617,1.270177375
125,F,2029,2029,Chuquicamata 110,0,F,EtaMes,1.192840202,1.373853479,1.25241813,1.34663219,1.283907333,1.2885754,1.338241456,1.308620659,1.398219604,1.33557854,1.198305714,1.289757854
126,F,2030,2030,Chuquicamata 110,0,F,EtaMes,1.211228486,1.395032182,1.27172484,1.367391262,1.303699466,1.308439495,1.35887118,1.328793762,1.419773925,1.349000628,1.210348259,1.302719461
127,F,2031,2031,Chuquicamata 110,0,F,EtaMes,1.2234009,1.409051758,1.284505221,1.381133056,1.316801181,1.321588845,1.372527351,1.342147666,1.434042146,1.381140241,1.239184513,1.333756436
128,F,2032,*,Chuquicamata 110,0,F,EtaMes,1.25254813,1.442622074,1.315108247,1.414038216,1.34817365,1.353075379,1.405227482,1.374124008,1.468207852,1.429408768,1.282491926,1.380368979
129,F,2017,2017,Chuquicamata 220,0,F,EtaMes,65.13432111,67.44858965,64.74637423,66.70624832,67.56406002,64.41458391,68.20201702,64.39691937,63.55354699,72.32408522,63.13134423,65.73277791
130,F,2018,2018,Chuquicamata 220,0,F,EtaMes,69.08060321,71.71442207,68.81068482,71.00725549,71.63003871,68.26723218,72.25038227,68.50245834,67.43413543,76.51608416,67.11531435,69.99932858
131,F,2019,2019,Chuquicamata 220,0,F,EtaMes,73.22883335,76.2284288,73.10655978,75.57158842,75.89950765,72.30870338,76.49196385,72.85206613,71.51832084,77.54591551,70.82325205,71.45097955
132,F,2020,2020,Chuquicamata 220,0,F,EtaMes,74.37537061,77.65316289,74.4336724,77.08938335,77.05238393,73.3763301,77.58156889,74.25565244,72.67686187,80.36942638,70.87088226,74.05256877
133,F,2021,2021,Chuquicamata 220,0,F,EtaMes,77.08343932,80.48057873,77.14386393,79.89627151,79.85792491,76.04802293,80.40637793,76.95936211,75.32308648,81.75445394,72.09221889,75.32873625
134,F,2022,2022,Chuquicamata 220,0,F,EtaMes,78.4118386,81.86752181,78.47330451,81.27314507,81.23413763,77.3585786,81.79204229,78.28562313,76.62114913,84.17079731,74.22298421,77.55516042
135,F,2023,2023,Chuquicamata 220,0,F,EtaMes,80.72938727,84.28720702,80.79266988,83.67526282,83.63510247,79.64499701,84.20949662,80.59944137,78.88577199,84.35958392,77.04622527,77.72910882
