DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
76,F,2017,2017,Cardones 220,0,EtaMes,0.015987424,0.015361383,0.014682808,0.014932838,0.016002329,0.017541975,0.019345954,0.019356873,0.019551563,0.020421283,0.019697003,0.019091852
77,F,2018,2018,Cardones 220,0,EtaMes,0.016681203,0.015965963,0.015273345,0.015705025,0.016850784,0.0185407,0.020393491,0.020376252,0.020473772,0.021121884,0.020340315,0.019467669
78,F,2019,2019,Cardones 220,0,EtaMes,0.016954303,0.016097326,0.015389877,0.015640217,0.016829877,0.01860901,0.020445845,0.020391584,0.020528183,0.021122185,0.020336917,0.01946933
79,F,2020,2020,Cardones 220,0,EtaMes,0.016963991,0.016113652,0.015408927,0.015660417,0.016848024,0.018622479,0.020456487,0.02039974,0.020528532,0.021035184,0.020251334,0.019390972
80,F,2021,2021,Cardones 220,0,EtaMes,0.016901238,0.016058396,0.015357162,0.015608997,0.016790925,0.018556224,0.020380571,0.0203214,0.020443857,0.020853993,0.020076893,0.019224887
81,F,2022,2022,Cardones 220,0,EtaMes,0.016757898,0.015923642,0.015228229,0.015478175,0.016650003,0.018399845,0.020207248,0.020146907,0.020266184,0.020689682,0.019919112,0.019074604
82,F,2023,2023,Cardones 220,0,EtaMes,0.016628125,0.015801599,0.015110901,0.01535964,0.016522353,0.018258437,0.020050272,0.019988632,0.020105192,0.020533228,0.01976871,0.018931247
83,F,2024,2024,Cardones 220,0,EtaMes,0.016504517,0.01568551,0.014999293,0.015246975,0.016400986,0.018123971,0.019901002,0.019837998,0.019951894,0.02041608,0.019656158,0.018824181
84,F,2025,2025,Cardones 220,0,EtaMes,0.01641221,0.015598768,0.014915825,0.015162748,0.016310273,0.018023522,0.019789616,0.019725549,0.019837426,0.020338386,0.019581681,0.018752934
85,F,2026,2026,Cardones 220,0,EtaMes,0.016350438,0.015540599,0.014859612,0.01510606,0.016249347,0.017956225,0.01971494,0.01965013,0.019761081,0.020267895,0.019514163,0.018688308
86,F,2027,2027,Cardones 220,0,EtaMes,0.016294549,0.015488048,0.014808749,0.015054784,0.016194244,0.017895344,0.019647222,0.019581665,0.01969172,0.020204062,0.019452993,0.018629748
87,F,2028,2028,Cardones 220,0,EtaMes,0.016244051,0.015440655,0.014762836,0.01500859,0.016144584,0.017840449,0.019586069,0.019519706,0.019628836,0.020147285,0.019398576,0.018577662
88,F,2029,2029,Cardones 220,0,EtaMes,0.016199249,0.015398718,0.014722161,0.014967728,0.016100643,0.017791845,0.019531843,0.01946464,0.019572851,0.020096499,0.019349875,0.018531064
89,F,2030,2030,Cardones 220,0,EtaMes,0.016159325,0.015361456,0.014685998,0.014931467,0.016061617,0.017748655,0.01948361,0.019415523,0.019522756,0.02005082,0.019306023,0.018489196
90,F,2031,*,Cardones 220,0,EtaMes,0.016123683,0.015328305,0.01465385,0.01489929,0.016026953,0.017710269,0.019440762,0.019371722,0.019477824,0.020013231,0.019269921,0.018454713
91,F,2017,2017,Cautin 220,0,EtaMes,0.001085034,0.00110732,0.001108283,0.001071995,0.001032858,0.001129568,0.00122626,0.0014963,0.001272653,0.001289186,0.001404569,0.001052495
92,F,2018,2018,Cautin 220,0,EtaMes,0.001150499,0.001169586,0.001171575,0.001145733,0.001105278,0.001213261,0.001313645,0.00160067,0.001354318,0.001336411,0.001453702,0.001075625
93,F,2019,2019,Cautin 220,0,EtaMes,0.001171962,0.001181859,0.001183166,0.001143569,0.001106388,0.001220467,0.001319977,0.001605474,0.001360968,0.001344422,0.001462151,0.00108215
94,F,2020,2020,Cautin 220,0,EtaMes,0.001179644,0.001190132,0.001191715,0.001151893,0.001114204,0.001228654,0.001328562,0.001615721,0.00136913,0.001348719,0.001466692,0.001085711
95,F,2021,2021,Cautin 220,0,EtaMes,0.001183913,0.001194763,0.001196435,0.001156544,0.001118584,0.001233276,0.001333354,0.001621338,0.001373498,0.001353609,0.001472009,0.001089701
96,F,2022,2022,Cautin 220,0,EtaMes,0.001188365,0.001199363,0.001201037,0.001161009,0.00112289,0.00123798,0.001338335,0.001627261,0.00137837,0.001358223,0.001477057,0.001093484
97,F,2023,2023,Cautin 220,0,EtaMes,0.001192578,0.001203712,0.001205343,0.001165226,0.001126959,0.001242442,0.001343047,0.001632846,0.001382979,0.001362394,0.00148161,0.001096893
98,F,2024,2024,Cautin 220,0,EtaMes,0.001196395,0.001207671,0.001209259,0.001169072,0.001130666,0.001246506,0.001347331,0.001637903,0.001387138,0.001366045,0.001485599,0.001099888
99,F,2025,2025,Cautin 220,0,EtaMes,0.001199737,0.001211121,0.001212671,0.001172418,0.001133895,0.001250051,0.001351089,0.001642353,0.001390811,0.001369687,0.001489584,0.001102843
100,F,2026,2026,Cautin 220,0,EtaMes,0.001202986,0.001214443,0.00121595,0.001175623,0.001136998,0.001253474,0.001354735,0.001646703,0.001394459,0.001373216,0.001493449,0.001105706
101,F,2027,2027,Cautin 220,0,EtaMes,0.001206143,0.001217675,0.001219135,0.001178737,0.001140013,0.001256799,0.001358268,0.001650915,0.00139799,0.00137659,0.00149714,0.001108441
102,F,2028,2028,Cautin 220,0,EtaMes,0.001209168,0.001220776,0.00122219,0.001181729,0.001142909,0.00125999,0.001361655,0.001654947,0.001401362,0.001379828,0.001500681,0.001111064
103,F,2029,2029,Cautin 220,0,EtaMes,0.001212075,0.001223763,0.001225133,0.001184613,0.001145699,0.001263063,0.001364915,0.001658822,0.0014046,0.001382832,0.001503964,0.001113497
104,F,2030,2030,Cautin 220,0,EtaMes,0.001214782,0.001226551,0.001227879,0.001187308,0.001148305,0.00126593,0.001367956,0.001662428,0.001407603,0.001385472,0.001506845,0.001115637
105,F,2031,*,Cautin 220,0,EtaMes,0.001217184,0.001229035,0.001230327,0.001189715,0.001150629,0.001268487,0.001370669,0.00166563,0.00141025,0.001388054,0.001509661,0.001117728
106,F,2017,2017,Cerro Navia 110,0,EtaMes,0.107933228,0.109362235,0.109259056,0.109657675,0.10870356,0.108309759,0.107028343,0.107841706,0.103774149,0.099883457,0.097500965,0.097484137
107,F,2018,2018,Cerro Navia 110,0,EtaMes,0.099192396,0.101656456,0.100987294,0.09915058,0.097881143,0.096255193,0.095368418,0.096605988,0.093361529,0.086994912,0.085800436,0.087536787
108,F,2019,2019,Cerro Navia 110,0,EtaMes,0.089434627,0.094298578,0.093445594,0.094326992,0.092129769,0.088890945,0.088931099,0.090999205,0.087499962,0.085679324,0.084485863,0.086214971
109,F,2020,2020,Cerro Navia 110,0,EtaMes,0.088120015,0.092946984,0.092130469,0.093001392,0.090822353,0.087604786,0.087623261,0.089646968,0.086174228,0.084853057,0.083662859,0.085388609
110,F,2021,2021,Cerro Navia 110,0,EtaMes,0.087298898,0.092101899,0.091301299,0.092168952,0.090003644,0.086804348,0.086807293,0.088799582,0.085339539,0.084612447,0.083427213,0.085150229
111,F,2022,2022,Cerro Navia 110,0,EtaMes,0.087061131,0.091860956,0.091061541,0.091926924,0.089764813,0.086570848,0.086567817,0.088550833,0.085089927,0.084364926,0.083186678,0.084905985
112,F,2023,2023,Cerro Navia 110,0,EtaMes,0.086816254,0.091611834,0.090810245,0.091676055,0.089517372,0.086330361,0.086321006,0.088294631,0.084834319,0.084088806,0.082917178,0.084631458
113,F,2024,2024,Cerro Navia 110,0,EtaMes,0.086540845,0.091330927,0.090527706,0.091393889,0.089239402,0.086060652,0.086045182,0.088008494,0.084550157,0.083898751,0.082732102,0.084443967
114,F,2025,2025,Cerro Navia 110,0,EtaMes,0.086353232,0.091139952,0.090334876,0.091201742,0.089050072,0.08587708,0.085857516,0.087813249,0.084355497,0.083804012,0.082641116,0.084350179
115,F,2026,2026,Cerro Navia 110,0,EtaMes,0.086258444,0.091044294,0.090236028,0.091103903,0.088953699,0.085784003,0.085761621,0.087713132,0.084255926,0.083697171,0.082538318,0.084244083
116,F,2027,2027,Cerro Navia 110,0,EtaMes,0.086151561,0.090936018,0.090124546,0.090993117,0.088844741,0.08567876,0.08565315,0.087600257,0.0841441,0.083581163,0.082426201,0.084128394
117,F,2028,2028,Cerro Navia 110,0,EtaMes,0.086035342,0.090818003,0.090003563,0.09087302,0.088726666,0.085564672,0.085535751,0.08747801,0.0840231,0.083456661,0.082305508,0.084003978
118,F,2029,2029,Cerro Navia 110,0,EtaMes,0.085910389,0.090690939,0.089873793,0.090744074,0.088599946,0.085442199,0.085410005,0.087347114,0.08389375,0.083320009,0.082172566,0.083867104
119,F,2030,2030,Cerro Navia 110,0,EtaMes,0.085773082,0.090550925,0.089731521,0.090602559,0.088460923,0.08530791,0.085272585,0.087204068,0.083752505,0.083168067,0.082024146,0.083714831
120,F,2031,*,Cerro Navia 110,0,EtaMes,0.085620701,0.090394969,0.089574121,0.090445746,0.088307088,0.085159476,0.085121391,0.087046458,0.083596821,0.083007879,0.081867457,0.083553908
121,F,2017,2017,Charrua 220,0,EtaMes,0.109619405,0.111458737,0.110675584,0.111341589,0.112619086,0.110198587,0.110369997,0.108965515,0.114264205,0.11676009,0.113459276,0.112977363
