DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
68,F,2024,2024,Alto Jahuel 110,0,EtaMes,0.012187904,0.0111743,0.010674135,0.010621015,0.01074763,0.010895485,0.010683681,0.011526074,0.01185929,0.011878987,0.012824689,0.012995951
69,F,2025,2025,Alto Jahuel 110,0,EtaMes,0.012223522,0.011207662,0.01070563,0.010652788,0.010779709,0.010927881,0.010714858,0.011558879,0.01189222,0.011898222,0.012845667,0.013017264
70,F,2026,2026,Alto Jahuel 110,0,EtaMes,0.012243827,0.011226671,0.010723361,0.010670754,0.010797923,0.010946363,0.010732552,0.011577387,0.011910962,0.011919871,0.012869272,0.013041208
71,F,2027,2027,Alto Jahuel 110,0,EtaMes,0.012266693,0.011248051,0.010743337,0.010690937,0.010818383,0.01096711,0.010752416,0.01159824,0.011932107,0.011943758,0.012895253,0.013067551
72,F,2028,2028,Alto Jahuel 110,0,EtaMes,0.012291896,0.011271604,0.010765395,0.010713232,0.010840965,0.01098999,0.010774362,0.011621312,0.011955491,0.011969832,0.012923571,0.013096267
73,F,2029,2029,Alto Jahuel 110,0,EtaMes,0.012319374,0.011297277,0.010789492,0.010737563,0.010865595,0.01101493,0.010798334,0.011646555,0.011981087,0.011999327,0.012955548,0.013128701
74,F,2030,2030,Alto Jahuel 110,0,EtaMes,0.012350426,0.011326261,0.010816776,0.010765081,0.010893426,0.011043104,0.010825498,0.011675222,0.012010143,0.012033769,0.012992822,0.013166565
75,F,2031,*,Alto Jahuel 110,0,EtaMes,0.012386712,0.011360079,0.010848736,0.010797257,0.010925952,0.011076025,0.010857374,0.011708934,0.012044272,0.01206939,0.013031344,0.013205668
76,F,2017,2017,Ancoa 220,0,EtaMes,0.001079202,0.001112678,0.001083426,0.001029926,0.001075173,0.001152066,0.001217807,0.00123105,0.001404862,0.001634924,0.001515702,0.001324095
77,F,2018,2018,Ancoa 220,0,EtaMes,0.001139513,0.00117032,0.001140471,0.001096123,0.001145724,0.001232241,0.001299156,0.001311454,0.001488848,0.001699808,0.001573323,0.001357134
78,F,2019,2019,Ancoa 220,0,EtaMes,0.001164096,0.001185993,0.001155038,0.001097165,0.001150153,0.001243119,0.001309191,0.001319209,0.001500536,0.001720329,0.001592001,0.001373557
79,F,2020,2020,Ancoa 220,0,EtaMes,0.001178683,0.001201393,0.001170269,0.001111685,0.001165147,0.001258898,0.001325573,0.001335577,0.001518616,0.001737493,0.001607716,0.001387339
80,F,2021,2021,Ancoa 220,0,EtaMes,0.001190832,0.001214112,0.001182716,0.001123587,0.001177516,0.001272064,0.001339261,0.001349213,0.001533723,0.001750621,0.001619808,0.001397773
81,F,2022,2022,Ancoa 220,0,EtaMes,0.001199746,0.001223325,0.001191632,0.001132057,0.001186421,0.001281677,0.001349342,0.001359299,0.001545112,0.001762881,0.001631138,0.00140755
82,F,2023,2023,Ancoa 220,0,EtaMes,0.001208104,0.001231958,0.001199945,0.001139994,0.001194765,0.001290699,0.001358783,0.001368726,0.001555764,0.001774174,0.001641571,0.001416559
83,F,2024,2024,Ancoa 220,0,EtaMes,0.001215844,0.001239969,0.001207666,0.001147378,0.001202517,0.001299072,0.00136753,0.001377438,0.00156558,0.001781309,0.001648171,0.001422282
