LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
136,Los Changos 500->Los Changos 220,T,MesAgo-2017,*,Los Changos 500,Los Changos 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,16.0925,0.3475,30,CNE,SIC
137,Cumbre 500->Cardones 500,T,MesAgo-2017,*,Cumbre 500,Cardones 500,*,F,F,101,F,F,3000,3000,T,T,T,1500,1500,500,2.03,11.3825,T,3,1,T,TxT,Lat,F,F,*,600,13,30,CNE,CNE
138,Los Changos 500->Los Changos 220 II,T,MesAgo-2017,*,Los Changos 500,Los Changos 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,16.0925,0.3475,30,CNE,SIC
139,Diego de Almagro 220->Cumbre 220 I,T,MesNov-2019,*,Diego de Almagro 220,Cumbre 220 Aux,*,F,F,101,F,F,600,600,T,T,T,600,600,220,0.991,7.6,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,CNE,SIC
140,Diego de Almagro 220->Cumbre 220 II,T,MesNov-2019,*,Diego de Almagro 220,Cumbre 220 Aux,*,F,F,101,F,F,600,600,T,T,T,600,600,220,0.991,7.6,T,5,1,T,TxT,Iny,F,F,*,11.341,0.311,30,CNE,SIC
141,Cumbre 500->Cumbre 220 I,T,MesNov-2019,*,Cumbre 500,Cumbre 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,16.0925,0.3475,30,CNE,SIC
142,Candelaria 220->Puente Negro 220,T,MesOct-2017,*,Candelaria 220,Puente Negro 220,*,F,F,101,F,F,1360,1360,T,F,T,680,680,220,1.53,13.05,T,3,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC
143,Puente Negro220->Colbun 220,T,MesOct-2017,*,Puente Negro 220,Colbun 220,*,F,F,101,T,F,1360,1360,T,F,T,680,680,220,2.36,20.1,T,3,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC
144,Cumbre 220 Aux->Cumbre 220 II,T,MesNov-2019,*,Cumbre 220 Aux,Cumbre 220,*,F,F,101,F,F,1200,1200,T,T,T,600,600,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
145,Los Changos 500->Los Changos 220 III,T,MesDic-2020,*,Los Changos 500,Los Changos 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Cmn,F,F,*,16.0925,0.3475,30,CNE,SIC
146,Carrera Pinto 220 Aux->San Andres 220 I,T,*,MesNov-2017,Carrera Pinto 220 Aux,San Andres 220,*,F,F,101,F,F,197,197,T,T,T,197,197,220,4.192866932,17.03352191,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
147,Carrera Pinto 220 Aux->San Andres 220 I REF,T,MesEne-2018,*,Carrera Pinto 220 Aux,San Andres 220,*,F,F,101,F,F,400,400,T,T,T,400,400,220,4.32142749,17.27307649,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
148,Carrera Pinto 220 Aux->San Andres 220 II,T,MesMay-2019,*,Carrera Pinto 220 Aux,San Andres 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,4.32142749,17.27307649,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
149,Carrera Pinto 220 Aux->San Andres 220 III,T,MesMay-2019,*,Carrera Pinto 220 Aux,San Andres 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,4.32142749,17.27307649,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
150,San Andres 220->San Andres 220 Aux,T,*,MesAgo-2017,San Andres 220,San Andres 220 Aux,*,F,F,101,F,F,197,197,T,T,T,197,197,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
151,San Andres 220->San Andres 220 Aux II,T,MesSep-2017,MesAbr-2019,San Andres 220,San Andres 220 Aux,*,F,F,101,F,F,400,400,T,T,T,400,400,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
152,San Andres 220->San Andres 220 Aux III,T,MesMay-2019,*,San Andres 220,San Andres 220 Aux,*,F,F,101,F,F,1026,1026,T,T,T,684,684,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
153,San Andres 220 Aux->Cardones 220 I,T,*,MesAgo-2017,San Andres 220 Aux,Cardones 220,*,F,F,101,F,F,197,197,T,T,T,197,197,220,2.776733068,11.28047809,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
154,San Andres 220 Aux->Cardones 220 I REF,T,MesOct-2017,*,San Andres 220 Aux,Cardones 220,*,F,F,101,F,F,400,400,T,T,T,400,400,220,2.86187251,11.43912351,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
155,San Andres 220 Aux->Cardones 220 II,T,MesMay-2019,*,San Andres 220 Aux,Cardones 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,2.86187251,11.43912351,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
156,San Andres 220 Aux->Cardones 220 III,T,MesMay-2019,*,San Andres 220 Aux,Cardones 220,*,F,F,101,F,F,342,342,T,T,T,342,342,220,2.86187251,11.43912351,T,5,1,T,TxT,Iny,F,F,*,0,0,30,CNE,SIC
