LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux,LinAux
57,Pan de Azucar 110->Ovalle 110 II,F,MesEne-2023,*,Pan de Azucar 110,Ovalle 110,*,F,F,101,F,F,67,67,F,F,F,67,67,110,24.3452,33.6985,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
58,Ovalle 110->Illapel 110,T,*,*,Ovalle 110,Illapel 110,*,F,F,101,F,F,67,67,T,F,F,67,67,110,45.8106,60.8267,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
59,Illapel 110->Choapa 110,T,*,*,Illapel 110,Choapa 110,*,F,F,101,F,F,54,54,T,F,F,54,54,110,14.4958,21.7558,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
60,Pan de Azucar 220->Las Palmas 220,F,*,*,Pan de Azucar 220,Las Palmas 220,*,F,F,101,F,F,446,446,T,T,T,274,274,220,7.001588,31.283527,T,5,1,T,TxT,Iny,F,F,*,29.691,0.793,30,Transelec,SIC,TxT,Ln,220
61,Las Palmas 220->Los Vilos 220,T,*,*,Las Palmas 220,Los Vilos 220,*,F,F,101,F,F,446,446,T,T,T,400,224,220,3.378668,15.096097,T,5,1,T,TxT,Iny,F,F,*,14.327,0.383,30,Transelec,SIC,TxT,Ln,220
62,Los Vilos 220->Choapa 220,T,*,*,Los Vilos 220,Choapa 220,BarB,F,F,101,F,F,74,74,T,F,F,74,74,220,0,0.484,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STx B,Ln,220
63,Choapa 220->Choapa 110,T,*,*,Choapa 220,Choapa 110,*,F,F,101,F,F,74,74,T,F,F,74,74,220,2.5168,74.3424,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Tr,220/110
64,Choapa 110->Quinquimo 110,T,*,*,Choapa 110,Quinquimo 110,*,F,F,101,F,F,54,54,T,F,F,54,54,110,18.3799,26.7531,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
65,Quinquimo 110->Casas Viejas 110,F,*,*,Quinquimo 110,Casas Viejas 110,*,F,F,101,F,F,54,54,T,F,F,54,54,110,5.687,8.2764,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
66,Casas Viejas 110->Quillota 110,T,*,*,Casas Viejas 110,Quillota 110,BarA,F,F,101,F,F,54,54,T,F,F,54,54,110,15.3549,22.3366,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STx B,Ln,110
67,Los Vilos 220->Nogales 220,T,*,*,Los Vilos 220,Nogales 220,*,F,F,101,F,F,446,446,T,T,T,400,224,220,4.6948,18.6824,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Otro,SIC,TxT,Ln,220
68,Nogales 220->Quillota 220,F,*,*,Nogales 220,Quillota 220,*,F,F,101,F,F,446,446,F,T,F,320,320,220,1.4762,5.8322,T,5,1,T,TxA,Ret,F,F,*,100,10,30,Otro,SIC,TxA,Ln,220
69,Nogales 220->Polpaico 220,T,MesNov-2011,*,Nogales 220,Polpaico 220,*,F,F,101,F,F,3000,3000,T,T,T,1500,1500,220,0.469665,7.04424,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Otro,SIC,TxT,Ln,220
70,Quillota 220->Polpaico 220,T,*,*,Quillota 220,Polpaico 220,*,F,F,101,F,F,2000,2000,T,T,T,1422,1422,220,0.484,5.8564,T,5,1,T,TxT,Cmn,F,F,*,21.139,0.466,30,Transelec,SIC,TxT,Ln,220
71,San Luis 220->Quillota 220,T,*,*,San Luis 220,Quillota 220,BarB,F,F,101,F,F,2352,2352,T,T,F,1520,1520,220,0.0968,1.0406,T,5,1,T,TxA,Cmn,F,F,*,13.532,0.332,30,Otro,SIC,TxA,Ln,220
72,Agua Santa 220->San Luis 220,T,*,*,Agua Santa 220,San Luis 220,*,F,F,101,F,F,321.15,321.15,T,T,F,321.15,321.15,220,1.6456,9.3896,T,5,1,T,STx,Cmn,F,F,*,10.942,0.246,30,Otro,SIC,STX C,Ln,220
73,Agua Santa 220->Agua Santa 110,T,*,*,Agua Santa 220,Agua Santa 110,*,F,F,101,F,F,294,294,T,F,F,294,294,220,0,20.2796,T,3,1,F,STx,Cmn,F,F,*,2.162,0.074,30,Otro,SIC,STX C,Tr,220/110
74,Quillota 220->Quillota 110 1,T,*,*,Quillota 220,Quillota 110,BarB,F,F,101,F,F,225,225,T,F,F,225,225,220,0.2834,28.78,T,3,1,F,STx,Cmn,F,F,*,7.253,0.222,30,Transelec,SIC,STx C,Tr,220/110
75,Quillota 220->Quillota 110 2,T,MesSep-2017,*,Quillota 220,Quillota 110,BarB,F,F,101,F,F,150,150,F,F,F,150,150,220,0.2834,45.09266667,T,3,1,F,STx,Cmn,F,F,*,6.202,0.192,30,Transelec,SIC,STx B,Tr,220/110
76,San Pedro 110->Quillota 110,T,*,*,San Pedro 110,Quillota 110,*,F,F,101,F,F,336,336,T,F,F,336,336,110,0.0242,0.0968,T,3,1,F,STx,Cmn,F,F,*,1.772,0.038,30,AesGener S.A.,SIC,STX C,Ln,110
77,Ventanas 110->San Pedro 110,T,*,*,Ventanas 110,San Pedro 110,*,F,F,101,F,F,560,560,T,F,F,280,280,110,1.6819,5.808,T,3,1,F,STx,Cmn,F,F,*,13.03,0.189,30,AesGener S.A.,SIC,STX C,Ln,110
78,Miraflores 110->Achupallas 110,T,*,*,Miraflores 110,Achupallas 110,*,F,F,101,F,F,98,98,T,F,F,49,49,110,0.0847,0.13915,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX C,Ln,110
79,Achupallas 110->Quilpue 110,T,*,*,Achupallas 110,Quilpue 110,*,F,F,101,F,F,98,98,T,F,F,49,49,110,1.0164,1.70005,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX C,Ln,110
80,Quilpue 110->San Pedro 110,T,*,*,Quilpue 110,San Pedro 110,*,F,F,101,F,F,98,98,T,F,F,49,49,110,2.1659,3.6663,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Chilquinta,SIC,STX C,Ln,110
81,Ventanas 110->Miraflores 110,T,*,*,Ventanas 110,Miraflores 110,*,F,F,101,F,F,322,322,T,F,F,161,161,110,1.7424,6.51585,T,3,1,F,STx,Cmn,F,F,*,14.705,0.23,30,AesGener S.A.,SIC,STX C,Ln,110
82,Agua Santa 110->Miraflores 110,T,*,*,Agua Santa 110,Miraflores 110,*,F,F,101,F,F,238,238,T,F,F,119,119,110,0.29645,0.80465,T,3,1,F,STx,Cmn,F,F,*,3.644,0.126,30,Chilquinta,SIC,STX C,Ln,110
83,Pachacama 110->San Pedro 110,T,*,*,Pachacama 110,San Pedro 110,*,F,F,101,F,F,372,372,T,F,F,186,186,110,0.5082,2.86165,T,3,1,F,STx,Cmn,F,F,*,6.284,0.078,30,AesGener S.A.,SIC,STX C,Ln,110
84,Las Vegas 110->Pachacama 110,T,*,*,Las Vegas 110,Pachacama 110,*,F,F,101,F,F,372,372,T,F,F,186,186,110,0.42955,2.43815,T,3,1,F,STx,Cmn,F,F,*,6.694,0.098,30,AesGener S.A.,SIC,STX C,Ln,110
85,Esperanza 110->Las Vegas 110,F,*,*,Esperanza 110,Las Vegas 110,*,F,F,101,F,F,114,114,T,F,F,114,114,110,0,0.121,T,3,1,F,STx,Cmn,F,F,*,0,0,30,HASA,SIC,STX C,Ln,110
86,San Felipe 110->Esperanza 110,T,*,*,San Felipe 110,Esperanza 110,*,F,F,101,F,F,80,80,T,F,F,40,40,110,2.6983,4.7069,T,3,1,F,STx,Cmn,F,F,*,0,0,30,HASA,SIC,STX C,Ln,110
87,Totoral 110->San Felipe 110,T,*,*,Totoral 110,San Felipe 110,*,F,F,101,F,F,40,40,T,F,F,40,40,110,5.6265,9.7768,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Minera Valparaiso,SIC,STX C,Ln,110
88,Totoral 110->Los Maquis 110,T,*,*,Totoral 110,Los Maquis 110,*,F,F,101,F,F,40,40,T,F,F,40,40,110,2.1296,3.7026,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Minera Valparaiso,SIC,STX C,Ln,110
89,San Felipe 110->Los Maquis 110,T,*,*,San Felipe 110,Los Maquis 110,*,F,F,101,F,F,40,40,T,F,F,40,40,110,3.8781,6.7397,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Minera Valparaiso,SIC,STX C,Ln,110
90,Aconcagua 110->Los Maquis 110,T,*,*,Aconcagua 110,Los Maquis 110,BarA,F,F,101,F,F,80,80,F,F,F,40,40,110,1.3431,2.3353,T,3,1,F,STx,Cmn,F,F,*,0,0,30,HGV,SIC,TxA,Ln,110
91,Polpaico 220->El Llano 220,T,*,*,Polpaico 220,El Llano 220,*,F,F,101,F,F,294,294,T,F,T,294,294,220,2.84,11.6,T,3,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC,TxT,Ln,220
92,El Llano 220->Los Maquis 220,T,*,*,El Llano 220,Los Maquis 220 Aux,*,F,F,101,F,F,294,294,T,F,T,294,294,220,3.94,16.18,T,3,1,F,TxT,Cmn,F,F,*,0,0,30,Otro,SIC,TxT,Ln,220
