BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
27,San Luis 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Luis 220,F,Quillota 220,CliCmn,T,San Luis 220
28,Agua Santa 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Agua Santa 220,F,Quillota 220,CliCmn,T,Agua Santa 220
29,Agua Santa 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Agua Santa 110,F,Quillota 220,CliCmn,T,Agua Santa 110
30,Quillota 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Quillota 110,F,Quillota 220,CliCmn,T,Quillota 110
31,Ventanas 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ventanas 110,F,Nogales 220,CliCmn,F,Quillota 110
32,Miraflores 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Miraflores 110,F,Quillota 220,CliCmn,F,Quillota 110
33,San Pedro 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Pedro 110,F,Quillota 220,CliCmn,F,Quillota 110
34,Las Vegas 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Las Vegas 110,F,Quillota 220,CliCmn,T,Las Vegas 110
35,Pachacama 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Pachacama 110,F,Quillota 220,CliCmn,F,Las Vegas 110
36,Punta Peuco 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Punta Peuco 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
