LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux
44,Tocopilla 110->A 110,T,*,*,Tocopilla 110,A 110,*,F,F,101,F,F,270,270,F,F,F,270,270,110,5.8546,16.5173,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
45,Crucero 220->Radomiro Tomic 220,T,*,*,Crucero 220,Radomiro Tomic 220,BarB,F,F,101,F,F,218.3,218.3,F,F,F,218.3,218.3,220,4.2148,32.6442,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
46,Crucero 220->El Abra 220,T,*,*,Crucero 220,El Abra 220,BarB,F,F,101,F,F,218.3,218.3,F,F,F,218.3,218.3,220,5.1813,40.4303,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
47,Crucero 220->Chuquicamata 220,T,*,MesAbr-2019,Crucero 220,Chuquicamata 220,*,F,F,101,F,F,356.7,356.7,T,F,T,356.7,356.7,220,3.8896,28.0772,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
48,Chuquicamata 220->Chuquicamata 110,T,*,*,Chuquicamata 220,Chuquicamata 110,BarB,F,F,101,F,F,240,240,F,F,F,240,240,220,0,28.2333,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
49,Chuquicamata 110->A 110,T,*,*,Chuquicamata 110,A 110,*,F,F,101,F,F,200,200,F,F,F,200,200,110,0.2502,0.7502,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
50,Chuquicamata 110->KM6 110,T,*,*,Chuquicamata 110,KM6 110,*,F,F,101,F,F,100,100,F,F,F,100,100,110,0.4803,2.0143,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
51,Salar 220->Chuquicamata 220,T,*,*,Salar 220,Chuquicamata 220,*,F,F,101,F,F,458,458,T,F,T,458,458,220,1.1,7.53,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
52,Crucero 220->Salar 220,T,*,MesAbr-2019,Crucero 220,Salar 220,*,F,F,101,F,F,356.7,356.7,T,F,T,356.7,356.7,220,4.31,29.48,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
53,Salar 220->Salar 110,T,*,*,Salar 220,Salar 110,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,34.2833,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
54,Salar 110->KM6 110,T,*,*,Salar 110,KM6 110,BarB,F,F,101,F,F,62,62,F,F,F,62,62,110,0.58,1.74,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
55,Salar 110->Calama 110,F,*,*,Salar 110,Calama 110,*,F,F,101,F,F,44,44,T,F,F,44,44,110,2.745,4.543,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
56,Crucero 220->Encuentro 220  I,T,*,MesNov-2015,Crucero 220,Encuentro 220 Aux,*,F,F,101,F,F,365.81,365.81,T,T,T,365.81,365.81,220,0.0344,0.3212,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
57,Crucero 220->Encuentro 220  II,T,*,MesNov-2015,Crucero 220,Encuentro 220 Aux,*,F,F,101,F,F,365.81,365.81,T,T,T,365.81,365.81,220,0.0344,0.3212,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
58,Encuentro 220->Encuentro 220 Aux,T,*,MesNov-2015,Encuentro 220,Encuentro 220 Aux,*,F,F,101,F,F,470,470,T,T,T,470,470,220,0,0.0001,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
59,Crucero 220->Laberinto 220 I,T,*,MesAbr-2019,Crucero 220,Laberinto 220 Aux,*,F,F,101,F,F,293.03,293.03,T,F,T,293.03,293.03,220,10.6425,54.5397,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
60,Crucero 220->Escondida 220,F,*,MesJun-2010,Crucero 220,Escondida 220,BarB,F,F,101,F,F,180,180,T,F,F,180,180,220,18.9272,96.996,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
61,Crucero 220->Laberinto 220 II,T,*,MesAbr-2019,Crucero 220,Laberinto 220 Aux,*,F,F,101,F,F,304.84,304.84,T,F,T,304.84,304.84,220,9.6425,53.2532,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
62,Laberinto 220->Nueva Zaldivar 220 II,T,*,*,Laberinto 220,Nueva Zaldivar 220,BarB,F,F,101,F,F,377,377,T,F,F,377,377,220,5.2925,29.2292,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
63,Nueva Zaldivar 220->Escondida 220,F,*,*,Nueva Zaldivar 220,Escondida 220,*,F,F,101,F,F,293,293,T,F,F,293,293,220,1.0038,5.5216,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
64,Chacaya 220->Crucero 220,T,*,*,Chacaya 220,Crucero 220,BarA,F,F,101,F,F,266,266,T,F,F,266,266,220,15.27,63.6148,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
65,Chacaya 220->El Cobre 220,T,*,*,Chacaya 220,El Cobre 220,BarA,F,F,101,F,F,846,846,T,F,F,423,423,220,3.3154,28.1688,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
66,Encuentro 220->El Tesoro 220,T,*,MesAbr-2020,Encuentro 220,El Tesoro 220,*,F,F,101,F,F,125,125,T,F,T,125,125,220,9.522,37.476,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
67,El Tesoro 220->Esperanza SING 220,T,*,MesAbr-2020,El Tesoro 220,Esperanza SING 220,*,F,F,101,F,F,266,266,T,F,T,266,266,220,1.25,5.1875,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
68,Encuentro 220->El Tesoro 220 2,T,MesMay-2020,*,Encuentro 220,Centinela 220,*,F,F,101,F,F,125,125,T,F,T,125,125,220,10.09332,39.72456,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
69,El Tesoro 220->Centinela 220,T,MesMay-2020,*,El Tesoro 220,Centinela 220,*,F,F,101,F,F,266,266,T,F,T,266,266,220,0.566037736,2.349056604,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
70,Centinela 220->Esperanza SING 220,T,MesMay-2020,*,Centinela 220,Esperanza SING 220,*,F,F,101,F,F,266,266,T,F,T,266,266,220,0.683962264,2.838443396,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
71,El Cobre 220->Esperanza SING 220,T,*,*,El Cobre 220,Esperanza SING 220,*,F,F,101,F,F,222,222,T,F,F,111,111,220,4.16,16.6,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
72,Encuentro 220->Spence 220,T,*,*,Encuentro 220,Spence 220,BarB,F,F,101,F,F,318,318,F,F,F,318,318,220,4.891,27.202,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
73,Atacama 220->Encuentro 220 I,T,*,MesDic-2015,Atacama 220 Aux,Encuentro 220,*,F,F,101,F,F,386,386,T,F,T,386,386,220,7.3134,46.1754,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
74,Atacama 220->Encuentro 220 II,T,*,MesDic-2015,Atacama 220 Aux,Encuentro 220,*,F,F,101,F,F,386,386,T,F,T,386,386,220,7.3134,46.1754,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
75,Chacaya 220->Capricornio 220,T,*,*,Chacaya 220,Capricornio 220,BarA,F,F,101,F,F,305,305,T,F,F,305,305,220,4.015,20.475,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
76,Chacaya 220->Mejillones 220,T,*,*,Chacaya 220,Mejillones 220,*,F,F,101,F,F,305,305,T,F,F,305,305,220,0.1044,0.5324,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
77,Capricornio 220->Capricornio 110,T,*,*,Capricornio 220,Capricornio 110,*,F,F,101,F,F,80,80,T,F,F,80,80,220,0,78.0853,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
78,Capricornio 220->Mantos Blancos 220,T,*,*,Capricornio 220,Mantos Blancos 220,BarB,F,F,101,F,F,305,305,T,F,F,305,305,220,1.2848,6.552,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
79,Laberinto 220->Gaby 220,F,*,MesJun-2010,Laberinto 220,Gaby 220,BarB,F,F,101,F,F,274,274,T,F,F,274,274,220,6.1814,25.78332,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
80,Laberinto 220->El Cobre 220,T,*,*,Laberinto 220,El Cobre 220,*,F,F,101,F,F,360.86,360.86,T,F,T,360.86,360.86,220,0.189,1.0362,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
81,El Cobre 220->Gaby 220,T,*,*,El Cobre 220,Gaby 220,BarB,F,F,101,F,F,266,266,F,F,F,266,266,220,5.89996,24.62592,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
82,Laberinto 220->Mantos Blancos 220,T,*,*,Laberinto 220,Mantos Blancos 220,BarB,F,F,101,F,F,290,290,T,F,F,290,290,220,6.33,29.15,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
