CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
115,F,*,*,3,Javiera,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
116,F,*,*,4,Javiera,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
117,F,*,*,5,Javiera,CenPotMax,EtaMes,0,4.725,8.265,10.33333333,6.06,5.475,14.26666667,2.35,2.745454545,1.85,0.28125,0.127272727
118,F,*,*,6,Javiera,CenPotMax,EtaMes,0.002272727,5.303621429,7.205,7.829545455,5.938095238,5.859259259,11.90606061,5.665,1.945,1.206818182,0.3425,0.145
119,F,*,*,7,Javiera,CenPotMax,EtaMes,29.8625,39.43,36.8325,41.11111111,46.2175,53.72222222,57.12592593,38.79333333,28.66969697,36.87777778,19.84375,15.98181818
120,F,*,*,8,Javiera,CenPotMax,EtaMes,30.18409091,37.28459206,38.19875,39.15568182,41.97738095,52.88703704,54.88939394,46.18166667,27.665,23.36818182,22.2675,19.4425
121,F,*,*,9,Javiera,CenPotMax,EtaMes,45.753125,43.0125,40.41,40.66666667,48.56666667,55.53125,58.975,42.484,31.64545455,37.91746032,38.95714286,47.31515152
122,F,*,*,10,Javiera,CenPotMax,EtaMes,46.87840909,43.0297619,39.84166667,41.4530303,45.8015873,55.1125,57.33181818,47.235,34.8,40.17207792,43.025,51.56333333
123,F,*,*,11,Javiera,CenPotMax,EtaMes,45.11875,37.995,40.87,34.65555556,43.905,54.91666667,58.8,43.22666667,34.93939394,34.37222222,35.96875,43.01515152
124,F,*,*,12,Javiera,CenPotMax,EtaMes,45.50909091,38.89761905,40.1,37.53636364,43.31190476,54.62222222,57.79772727,44.865,39.51,38.93181818,38.0225,46.13166667
125,F,*,*,13,Javiera,CenPotMax,EtaMes,6.225,1.6602,27.55,4.7,9.95,12.50833333,21.04444444,5.3,13.70909091,14.67222222,10.6875,3.572727273
126,F,*,*,14,Javiera,CenPotMax,EtaMes,6.586363636,1.626380952,28.21,4.386363636,10.9047619,12.05833333,20.58636364,6.0775,12.36,15.26590909,9.06,4.03
127,F,*,*,15,Javiera,CenPotMax,EtaMes,0,0,0.565,0,0.05,0,0,0,0,0,0,0
128,F,*,*,16,Javiera,CenPotMax,EtaMes,0,0,0.555,0,0.050793651,0,0,0,0,0,0,0
129,F,*,*,1,Solar Esperanza,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
130,F,*,*,2,Solar Esperanza,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
131,F,*,*,3,Solar Esperanza,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
132,F,*,*,4,Solar Esperanza,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
133,F,*,*,5,Solar Esperanza,CenPotMax,EtaMes,0.0125,0.32,0.2549,0.214666667,0.285,0.130555556,0.155555556,0.015,0.004545455,0,0.0001875,0
134,F,*,*,6,Solar Esperanza,CenPotMax,EtaMes,0.015909091,0.261904762,0.24405,0.236954545,0.271428571,0.151851852,0.136363636,0.005,0.01,0,0,0
135,F,*,*,7,Solar Esperanza,CenPotMax,EtaMes,1.18125,1.693333333,1.728125,1.666888889,1.7225,1.511111111,1.674074074,1.08,0.942424242,0.533333333,0.493125,0.513636364
136,F,*,*,8,Solar Esperanza,CenPotMax,EtaMes,1.170454545,1.552380952,1.7204375,1.698761364,1.677380952,1.533333333,1.651515152,1.078333333,0.991666667,0.538636364,0.4993,0.49
137,F,*,*,9,Solar Esperanza,CenPotMax,EtaMes,2.328125,2.1025,1.953333333,1.959259259,2.04,2.2375,2.247222222,2.274,2.194545455,2.038095238,2.119642857,2.163636364
138,F,*,*,10,Solar Esperanza,CenPotMax,EtaMes,2.317045455,2.052380952,1.943333333,1.970454545,2.011111111,2.202777778,2.227272727,2.259,2.202,2.053246753,2.124285714,2.13
139,F,*,*,11,Solar Esperanza,CenPotMax,EtaMes,1.5125,1.145,1.37,1.038888889,1.19,1.45,1.466666667,1.14,1.239393939,1.066666667,1.164375,1.324242424
140,F,*,*,12,Solar Esperanza,CenPotMax,EtaMes,1.502272727,1.14047619,1.295,1.134090909,1.20952381,1.438888889,1.440909091,1.146666667,1.225,1.1,1.1011,1.36
141,F,*,*,13,Solar Esperanza,CenPotMax,EtaMes,0.26875,0.095,0.77,0.233333333,0.36,0.25,0.277777778,0.05,0.077272727,0.105555556,0.1064375,0.109090909
142,F,*,*,14,Solar Esperanza,CenPotMax,EtaMes,0.25,0.102380952,0.67,0.236363636,0.342857143,0.25,0.268181818,0.0525,0.065,0.104545455,0.10475,0.15
143,F,*,*,15,Solar Esperanza,CenPotMax,EtaMes,0.00E+00,0,0.0425,0,0,0,0,0,0,0,0,0
144,F,*,*,16,Solar Esperanza,CenPotMax,EtaMes,0.00E+00,0,0.035,0,0,0,0,0,0,0,0,0
145,F,*,*,1,Solar Las Terrazas,CenPotMax,EtaMes,0,0,0,0,0,0,0.000740741,0,0,0,0,0
146,F,*,*,2,Solar Las Terrazas,CenPotMax,EtaMes,0,0.005238095,0,0,0,0,0.001515152,0,0,0,0,0
147,F,*,*,3,Solar Las Terrazas,CenPotMax,EtaMes,0,0,0,0.003703704,0,0,0.001111111,0,0,0,0,0
148,F,*,*,4,Solar Las Terrazas,CenPotMax,EtaMes,0,0,0,0.003030303,0,0,0.002272727,0,0,0,0,0
149,F,*,*,5,Solar Las Terrazas,CenPotMax,EtaMes,0.038125,0.1465,0.226,0.467222222,0.0405,0.060277778,0.186666667,0.0795,0.063636364,0.039444444,0.0225,0.118181818
150,F,*,*,6,Solar Las Terrazas,CenPotMax,EtaMes,0.019090909,0.160238095,0.1815,0.380681818,0.06047619,0.058888889,0.211212121,0.0805,0.06725,0.0425,0.03625,0.0945
151,F,*,*,7,Solar Las Terrazas,CenPotMax,EtaMes,1.5003125,1.525666667,1.81875,1.695277778,1.5445,0.801666667,1.814444444,1.420333333,1.552424242,0.969444444,0.894375,1.106363636
152,F,*,*,8,Solar Las Terrazas,CenPotMax,EtaMes,1.325113636,1.488571429,1.771,1.780795455,1.524880952,1.131666667,1.796969697,1.582666667,1.572166667,1.072954545,1.028,1.03275
153,F,*,*,9,Solar Las Terrazas,CenPotMax,EtaMes,2.7128125,2.3525,2.226666667,1.988888889,2.216333333,1.170416667,2.558888889,2.6618,2.777454545,2.606666667,2.666428571,2.685454545
154,F,*,*,10,Solar Las Terrazas,CenPotMax,EtaMes,2.360568182,2.32,2.220333333,2.247727273,2.206984127,1.72875,2.288522727,2.6813,2.7976,2.665064935,2.672428571,2.697333333
155,F,*,*,11,Solar Las Terrazas,CenPotMax,EtaMes,1.75625,1.202,1.535,1.098888889,1.233,0.66,1.420555556,1.404666667,1.704848485,1.296666667,1.510625,1.599090909
156,F,*,*,12,Solar Las Terrazas,CenPotMax,EtaMes,1.456363636,1.19547619,1.5605,1.135,1.225238095,0.780555556,1.317272727,1.494333333,1.586,1.445227273,1.44625,1.606833333
157,F,*,*,13,Solar Las Terrazas,CenPotMax,EtaMes,0.3,0.093,0.861,0.194444444,0.32,0.107916667,0.257777778,0.069,0.115,0.159444444,0.15875,0.125454545
158,F,*,*,14,Solar Las Terrazas,CenPotMax,EtaMes,0.252045455,0.09047619,0.886,0.197272727,0.34952381,0.108888889,0.248636364,0.065,0.10275,0.165681818,0.14925,0.1385
159,F,*,*,15,Solar Las Terrazas,CenPotMax,EtaMes,0.00E+00,0,0.041,0,0.001666667,0,0.001111111,0,0,0,0,0
160,F,*,*,16,Solar Las Terrazas,CenPotMax,EtaMes,0.00E+00,0,0.041,0,0.003015873,0,0.002272727,0,0,0,0,0
161,F,*,*,1,Solar Hornitos,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
162,F,*,*,2,Solar Hornitos,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
163,F,*,*,3,Solar Hornitos,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
164,F,*,*,4,Solar Hornitos,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
165,F,*,*,5,Solar Hornitos,CenPotMax,EtaMes,0,0.000421728,3.73E-05,5.83E-05,0.001798014,0.015620567,0.04412601,0.102057218,0.098900125,0.005198376,6.78E-05,0
166,F,*,*,6,Solar Hornitos,CenPotMax,EtaMes,0,0.000421728,3.73E-05,5.83E-05,0.001798014,0.015620567,0.04412601,0.102057218,0.098900125,0.005198376,6.78E-05,0
