ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
318,1,1,MesMar,38,28,2036.503
319,1,1,MesMar,39,30,2038.745
320,1,1,MesMar,40,53,2042.858
321,1,1,MesMar,41,49,2047.527
322,1,1,MesMar,42,45,2051.356
323,1,1,MesMar,43,34,2055.071
324,1,1,MesMar,44,35,2058.094
325,1,1,MesMar,45,14,2062.95
326,1,1,MesMar,46,29,2069.593
327,1,1,MesMar,47,36,2074.27
328,1,1,MesMar,48,33,2074.68
329,1,1,MesMar,49,42,2086.578
330,1,1,MesMar,50,38,2087.475
331,1,1,MesMar,51,40,2099.09
332,1,1,MesMar,52,6,2101.371
333,1,1,MesMar,53,43,2112.993
334,1,1,MesMar,54,50,2163.581
335,1,1,MesMar,55,11,2197.69
336,1,1,MesMar,56,55,2478.902
337,2,2,MesAbr,1,40,1153.988
338,2,2,MesAbr,2,46,1321.02
339,2,2,MesAbr,3,49,1331.454
340,2,2,MesAbr,4,55,1355.612
341,2,2,MesAbr,5,56,1413.986
342,2,2,MesAbr,6,30,1415.249
343,2,2,MesAbr,7,12,1448.548
344,2,2,MesAbr,8,53,1453.234
345,2,2,MesAbr,9,41,1460.526
346,2,2,MesAbr,10,13,1489.126
347,2,2,MesAbr,11,15,1490.98
348,2,2,MesAbr,12,9,1501.592
349,2,2,MesAbr,13,3,1507.197
350,2,2,MesAbr,14,25,1539.79
351,2,2,MesAbr,15,18,1543.169
352,2,2,MesAbr,16,10,1561.819
353,2,2,MesAbr,17,17,1565.024
354,2,2,MesAbr,18,4,1576.73
355,2,2,MesAbr,19,23,1578.797
356,2,2,MesAbr,20,51,1623.874
357,2,2,MesAbr,21,50,1630.731
358,2,2,MesAbr,22,52,1650.862
359,2,2,MesAbr,23,11,1652.774
360,2,2,MesAbr,24,2,1653.031
361,2,2,MesAbr,25,42,1670.511
362,2,2,MesAbr,26,54,1685.263
363,2,2,MesAbr,27,37,1692.748
364,2,2,MesAbr,28,19,1720.424
365,2,2,MesAbr,29,48,1737.807
366,2,2,MesAbr,30,5,1751.931
367,2,2,MesAbr,31,20,1767.542
368,2,2,MesAbr,32,32,1773.376
369,2,2,MesAbr,33,29,1782.324
370,2,2,MesAbr,34,16,1791.64
371,2,2,MesAbr,35,1,1802.51
372,2,2,MesAbr,36,14,1811.16
373,2,2,MesAbr,37,47,1812.669
374,2,2,MesAbr,38,8,1878.477
375,2,2,MesAbr,39,28,1884.354
376,2,2,MesAbr,40,44,1893.66
377,2,2,MesAbr,41,39,1918.576
378,2,2,MesAbr,42,22,1969.422
379,2,2,MesAbr,43,33,1982.967
380,2,2,MesAbr,44,36,1995.856
381,2,2,MesAbr,45,38,2038.33
382,2,2,MesAbr,46,35,2076.133
383,2,2,MesAbr,47,26,2124.448
384,2,2,MesAbr,48,24,2140.109
385,2,2,MesAbr,49,27,2178.116
386,2,2,MesAbr,50,31,2202.235
387,2,2,MesAbr,51,43,2205.638
388,2,2,MesAbr,52,7,2285.196
389,2,2,MesAbr,53,6,2321.727
390,2,2,MesAbr,54,34,2513.568
391,2,2,MesAbr,55,45,2558.511
392,2,2,MesAbr,56,21,4042.713
393,2,2,MesMay,1,30,1380.452
394,2,2,MesMay,2,40,1509.729
395,2,2,MesMay,3,56,1534.19
396,2,2,MesMay,4,41,1534.441
397,2,2,MesMay,5,54,1549.304
398,2,2,MesMay,6,3,1595.97
399,2,2,MesMay,7,52,1600.923
400,2,2,MesMay,8,48,1649.536
401,2,2,MesMay,9,17,1656.006
402,2,2,MesMay,10,4,1666.194
403,2,2,MesMay,11,9,1718.363
404,2,2,MesMay,12,51,1726.408
405,2,2,MesMay,13,1,1811.687
406,2,2,MesMay,14,44,1895.357
407,2,2,MesMay,15,29,1898.763
408,2,2,MesMay,16,37,1900.035
409,2,2,MesMay,17,45,1932.502
410,2,2,MesMay,18,2,1945.791
411,2,2,MesMay,19,39,1963.482
412,2,2,MesMay,20,47,1974.448
413,2,2,MesMay,21,53,1978.111
414,2,2,MesMay,22,5,1986.43
415,2,2,MesMay,23,11,2030.988
416,2,2,MesMay,24,28,2106.925
417,2,2,MesMay,25,36,2171.746
418,2,2,MesMay,26,35,2254.341
419,2,2,MesMay,27,24,2340.959
420,2,2,MesMay,28,10,2462.152
421,2,2,MesMay,29,23,2522.267
422,2,2,MesMay,30,38,2613.175
423,2,2,MesMay,31,15,2620.984
424,2,2,MesMay,32,20,2673.597
425,2,2,MesMay,33,46,2728.124
426,2,2,MesMay,34,19,2741.796
427,2,2,MesMay,35,8,2748.21
428,2,2,MesMay,36,25,2805.58
429,2,2,MesMay,37,31,2830.54
430,2,2,MesMay,38,14,2923.384
431,2,2,MesMay,39,7,2972.202
432,2,2,MesMay,40,16,3030.329
433,2,2,MesMay,41,18,3032.81
434,2,2,MesMay,42,12,3363.534
435,2,2,MesMay,43,43,3576.239
436,2,2,MesMay,44,6,3665.207
437,2,2,MesMay,45,55,3780.237
438,2,2,MesMay,46,50,3833.904
439,2,2,MesMay,47,42,4149.97
440,2,2,MesMay,48,26,4346.2
441,2,2,MesMay,49,34,4396.528
442,2,2,MesMay,50,27,4721.736
443,2,2,MesMay,51,49,5178.426
444,2,2,MesMay,52,22,5195.631
445,2,2,MesMay,53,21,5208.352
446,2,2,MesMay,54,32,5215.241
447,2,2,MesMay,55,13,5219.429
448,2,2,MesMay,56,33,5236.47
449,2,2,MesJun,1,56,1482.629
450,2,2,MesJun,2,54,1563.354
451,2,2,MesJun,3,9,1648.862
