DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
48,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951159223,0.932207705,0.987237941,0.950434309,0.960147008,0.915145765,1.01636771,1.036627276,0.984975491,1.035533001,1.032495658,1.027862625
49,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066252179,1.053789263,1.027163605,1.058973106,1.032164866,1.082310064,1.016588735,1.05005845,1.135713083,1.025466227,1.028956703,1.012595275
50,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015492419,0.985453059,1.025880504,1.004404622,1.009591609,0.981730535,1.026003447,1.028509409,0.97098033,1.037733257,1.031713246,1.026579168
51,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050986233,1.039265891,1.02945087,1.057324386,1.047323172,1.093972096,1.0308389,1.031740714,1.128060668,1.021424576,1.028543909,1.012994748
52,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046393925,1.027274357,1.03225678,1.020256003,1.034210199,1.03404727,1.021951507,1.02365194,0.963460299,1.043467884,1.032278544,1.024883616
53,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024985152,1.027196295,1.014259382,1.021862353,1.02502064,1.045808574,1.011146046,0.991413525,1.101541499,0.982914413,1.018975125,1.010915608
54,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026470653,0.993974765,1.003650269,0.99776711,1.015880753,1.019365553,1.006806717,1.016736275,0.964945375,1.039920366,1.009124266,1.006114436
55,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008556556,1.036872766,1.001432737,1.006933577,0.992429763,1.030455651,0.98664998,0.969755864,1.082018649,0.927550728,0.976744053,0.988628393
56,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971957424,0.968790885,0.956172073,0.967711213,0.96633951,0.966970557,0.966744965,0.961423568,0.924290465,0.997315303,0.974543634,0.974298565
57,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034272259,1.050894466,1.003914386,1.017825029,0.997232145,1.057478028,0.995309885,0.995794813,1.094967511,0.931872319,0.996236262,0.999603592
58,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962484549,0.965946466,0.951689067,0.982138965,0.95980324,0.918449323,0.965947738,0.949630462,0.918871821,0.978324983,0.954696455,0.956707211
59,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050457755,1.049638985,1.004447848,1.02599289,1.0077986,1.044082515,1.001843491,1.019577945,1.104079699,0.963957529,1.012811888,1.000046307
60,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946508522,0.943631762,0.967032226,0.979224974,0.971378169,0.899795469,0.969147599,0.967275096,0.931574292,0.982386757,0.977164873,0.966495466
