DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
57,F,2028,2028,Alonso de Cordova 110,0,F,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
58,F,2029,2029,Alonso de Cordova 110,0,F,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
59,F,2030,2030,Alonso de Cordova 110,0,F,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
60,F,2031,*,Alonso de Cordova 110,0,F,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
61,F,2017,2017,Altamirano 110,0,F,EtaMes,5.567504573,5.815790594,5.471154051,5.695359625,5.820108578,5.600443512,5.932229249,5.920240978,6.246812687,6.42905708,5.648668256,6.215801147
62,F,2018,2018,Altamirano 110,0,F,EtaMes,5.897641914,6.154910985,5.791607751,6.027004181,6.163555253,5.92854584,6.280734775,6.269913733,6.614885929,6.489738046,5.707375859,6.268779137
63,F,2019,2019,Altamirano 110,0,F,EtaMes,5.939552926,6.234371624,5.844496668,6.093591295,6.217382351,5.995280841,6.337232103,6.338037548,6.688543442,6.605536633,5.809164686,6.380635809
64,F,2020,2020,Altamirano 110,0,F,EtaMes,6.045557714,6.345378586,5.948637341,6.202083473,6.328270482,6.10210008,6.450194739,6.451078017,6.80779856,6.662879768,5.858985319,6.436035485
65,F,2021,2021,Altamirano 110,0,F,EtaMes,6.098325075,6.397588824,5.998508785,6.253015587,6.382586342,6.15315789,6.504786138,6.506453213,6.865786813,6.73754916,5.923915814,6.508173375
66,F,2022,2022,Altamirano 110,0,F,EtaMes,6.16700963,6.465841177,6.063613094,6.319606801,6.453371336,6.219820562,6.576002581,6.578618248,6.94139933,6.80621392,5.983469754,6.574512477
67,F,2023,2023,Altamirano 110,0,F,EtaMes,6.230243505,6.527873091,6.123031541,6.380102458,6.518306133,6.28063492,6.641134806,6.644820387,7.010648577,6.908727925,6.072782391,6.67354849
68,F,2024,2024,Altamirano 110,0,F,EtaMes,6.3244616,6.622375619,6.212905042,6.472333892,6.615659545,6.372688424,6.739298043,6.744070346,7.114765959,7.064010819,6.208364512,6.823558768
69,F,2025,2025,Altamirano 110,0,F,EtaMes,6.467039588,6.766919795,6.349900337,6.613454533,6.763426839,6.513056743,6.888672415,6.894713717,7.273017254,7.26774283,6.386526338,7.020369013
70,F,2026,2026,Altamirano 110,0,F,EtaMes,6.653972731,6.957871276,6.530444385,6.799929876,6.957580765,6.698092624,7.085291286,7.092644153,7.481149535,7.451887762,6.547322152,7.198261124
71,F,2027,2027,Altamirano 110,0,F,EtaMes,6.823045055,7.129344687,6.692941529,6.96734418,7.132826824,6.864592934,7.262460333,7.271301007,7.668839009,7.636091235,6.708259971,7.376208457
72,F,2028,2028,Altamirano 110,0,F,EtaMes,6.992128538,7.301301495,6.855754294,7.13524569,7.30822115,7.0314319,7.43989507,7.450108222,7.856753878,7.815194455,6.864485085,7.549232516
73,F,2029,2029,Altamirano 110,0,F,EtaMes,7.156650671,7.467286118,7.013313743,7.297272901,7.478497791,7.192844621,7.611825791,7.623700405,8.038997775,7.821428023,6.86882316,7.555270604
74,F,2030,2030,Altamirano 110,0,F,EtaMes,7.162891856,7.467875959,7.015605025,7.297663346,7.483304767,7.195006808,7.615277547,7.628610568,8.043336259,7.79629642,6.845598028,7.53101112
75,F,2031,*,Altamirano 110,0,F,EtaMes,7.140417202,7.438432862,6.989709953,7.268702417,7.458084036,7.168258868,7.588149059,7.602910121,8.01538662,7.877883543,6.91604798,7.609839475
76,F,2017,2017,Alto Jahuel 110,0,F,EtaMes,3.338178926,3.567883348,3.396811177,3.553513059,3.52887657,3.403438234,3.548477647,3.490792032,3.656339201,3.717153379,3.357835579,3.692326369
77,F,2018,2018,Alto Jahuel 110,0,F,EtaMes,3.502344123,3.743950419,3.563923689,3.728471739,3.702006889,3.571441403,3.723185877,3.66206836,3.835703963,3.821862215,3.452622255,3.795974066
78,F,2019,2019,Alto Jahuel 110,0,F,EtaMes,3.600864975,3.849811608,3.664388421,3.83388446,3.806078693,3.672430324,3.828327941,3.76504353,3.943719831,3.864730047,3.54102736,3.838144711
79,F,2020,2020,Alto Jahuel 110,0,F,EtaMes,3.641167686,3.893655351,3.705571888,3.877203466,3.848426649,3.71423788,3.871549893,3.807043422,3.987777262,3.885412521,3.509541131,3.858550856
80,F,2021,2021,Alto Jahuel 110,0,F,EtaMes,3.660794009,3.91476177,3.725498266,3.898056879,3.868885498,3.734453854,3.892379834,3.827196813,4.008811068,2.844451555,2.553742042,2.80471715
81,F,2022,2022,Alto Jahuel 110,0,F,EtaMes,2.681126871,2.899371094,2.733728742,2.869829831,2.815123814,2.768075821,2.864119844,2.785714998,2.918305538,2.866140661,2.573139243,2.826125406
82,F,2023,2023,Alto Jahuel 110,0,F,EtaMes,2.701599642,2.921481617,2.754574707,2.891676487,2.836588993,2.789189355,2.885942728,2.806953095,2.940524981,2.897699868,2.653117561,2.857204574
83,F,2024,2024,Alto Jahuel 110,0,F,EtaMes,2.731265313,2.953737668,2.784877272,2.923520389,2.867777194,2.819931756,2.917734291,2.837908485,2.972984784,2.959194295,2.656519928,2.917927004
84,F,2025,2025,Alto Jahuel 110,0,F,EtaMes,2.78937301,3.016337627,2.844008581,2.985482597,2.928682544,2.879759121,2.979604777,2.898078429,3.035923754,3.036582011,2.725909569,2.994259824
85,F,2026,2026,Alto Jahuel 110,0,F,EtaMes,2.862351513,3.095222648,2.918385243,3.063518287,3.005271998,2.955076947,3.057508469,2.973864418,3.115282029,3.104414091,2.786706924,3.06117439
86,F,2027,2027,Alto Jahuel 110,0,F,EtaMes,2.926328166,3.164368003,2.983578429,3.131906747,3.072404285,3.021096911,3.125787596,3.040291537,3.184830782,3.16827781,2.900442312,3.124106529
87,F,2028,2028,Alto Jahuel 110,0,F,EtaMes,2.986440331,3.229560765,3.044925594,3.196338244,3.135559668,3.083280271,3.190105905,3.102888309,3.250436399,3.237552821,2.906029963,3.192514648
88,F,2029,2029,Alto Jahuel 110,0,F,EtaMes,3.051902726,3.300084676,3.111537739,3.266133627,3.20416945,3.150679609,3.259802023,3.170672311,3.321335392,3.229996909,2.899141293,3.185095166
89,F,2030,2030,Alto Jahuel 110,0,F,EtaMes,3.044821171,3.29238658,3.104277521,3.258460115,3.196691023,3.143336066,3.252171264,3.163268045,3.313537515,3.209326537,2.880479802,3.164744035
90,F,2031,*,Alto Jahuel 110,0,F,EtaMes,3.025377665,3.271320768,3.084413315,3.237555761,3.176233357,3.123230077,3.231335646,3.14302018,3.292285243,3.227434206,2.954097363,3.182565245
91,F,2017,2017,Alto Jahuel 220,0,F,EtaMes,9.77512979,10.45597,9.924864487,10.38755588,10.22991213,10.01573703,10.3664678,10.06611594,10.51720835,10.9103309,9.833332907,10.78948973
92,F,2018,2018,Alto Jahuel 220,0,F,EtaMes,10.34406267,11.06712576,10.50360743,10.9942294,10.82625742,10.60043361,10.97175971,10.65411315,11.13237622,11.3075978,10.19123614,11.18151121
93,F,2019,2019,Alto Jahuel 220,0,F,EtaMes,10.7192113,11.47119874,10.88568152,11.39513813,11.21987489,10.98671069,11.37169308,11.04272033,11.53928158,11.54477254,10.40484375,11.4151752
94,F,2020,2020,Alto Jahuel 220,0,F,EtaMes,10.94250865,11.71292877,11.11361404,11.63475033,11.45460708,11.21745625,11.61065248,11.27502542,11.78290729,11.65858172,10.50726175,11.52682915
95,F,2021,2021,Alto Jahuel 220,0,F,EtaMes,11.04882408,11.82953442,11.22277499,11.75005586,11.56691679,11.32834412,11.72555726,11.38687068,11.9006767,11.7986016,10.6332982,11.66437547
96,F,2022,2022,Alto Jahuel 220,0,F,EtaMes,11.17994012,11.97276382,11.35715683,11.8917931,11.70521573,11.46470795,11.86683456,11.5243333,12.04524175,11.92519788,10.74723278,11.78862774
97,F,2023,2023,Alto Jahuel 220,0,F,EtaMes,11.29829534,12.10240152,11.47860682,12.0200168,11.8301812,11.58803612,11.9946224,11.64870272,12.17614514,12.11232332,10.91571279,11.97268916
98,F,2024,2024,Alto Jahuel 220,0,F,EtaMes,11.47395017,12.29350262,11.65830704,12.20926956,12.01517489,11.77019144,12.18330542,11.83221913,12.36890072,12.38899404,11.16488494,12.2452252
99,F,2025,2025,Alto Jahuel 220,0,F,EtaMes,11.73436284,12.5755382,11.92417865,12.48881092,12.28896897,12.03937603,12.46207797,12.1032404,12.65316889,12.75289018,11.49265498,12.60392245
100,F,2026,2026,Alto Jahuel 220,0,F,EtaMes,12.07729971,12.94618004,12.27397954,12.85631658,12.64924805,12.39334263,12.82861693,12.45951643,13.02661797,13.07859284,11.78599602,12.9248164
101,F,2027,2027,Alto Jahuel 220,0,F,EtaMes,12.38396718,13.27812214,12.58699587,13.18535787,12.97160513,12.71021203,13.15676406,12.77852194,13.36115662,13.41049928,12.08491829,13.25178747
102,F,2028,2028,Alto Jahuel 220,0,F,EtaMes,12.69641367,13.61643236,12.90595845,13.52069088,13.30007786,13.03312916,13.49117937,13.10363144,13.70213179,13.72624831,12.36927094,13.56273921
103,F,2029,2029,Alto Jahuel 220,0,F,EtaMes,12.99346883,13.93840602,13.20934741,13.83977061,13.61248924,13.34036205,13.80936707,13.41299535,14.02669584,13.73771604,12.37941856,13.57300577
104,F,2030,2030,Alto Jahuel 220,0,F,EtaMes,13.00243627,13.95143229,13.21990073,13.85207229,13.62312127,13.35187781,13.8214454,13.4250447,14.0403707,13.69336954,12.3392704,13.52812666
105,F,2031,*,Alto Jahuel 220,0,F,EtaMes,12.95857568,13.90777687,13.17674333,13.80809557,13.57840422,13.30914718,13.77736965,13.38255066,13.99700287,13.83569478,12.46733264,13.66765587
106,F,2017,2017,Apoquindo 110,0,F,EtaMes,2.716179617,2.709293483,2.684071189,2.697206551,2.737467696,2.573587865,2.804816814,2.798620295,3.020139388,3.170984672,2.777293457,3.113055429
107,F,2018,2018,Apoquindo 110,0,F,EtaMes,2.879485143,2.872703269,2.845761103,2.860109056,2.902922581,2.728838096,2.973676321,2.967298598,3.201727638,0.983676178,0.902667551,0.995248839
108,F,2019,2019,Apoquindo 110,0,F,EtaMes,0.925812873,0.960530856,0.937385534,0.972103517,0.995248839,0.914240212,0.972103517,0.983676178,1.029966821,1.00165304,0.919163966,1.013437193
