DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
89,F,2030,2030,Cardones 220,0,F,EtaMes,221.3730513,230.2906192,213.4113551,229.1210216,226.2309594,225.7755709,228.8859547,226.6804666,232.3639623,228.6456115,219.1236099,225.9824299
90,F,2031,*,Cardones 220,0,F,EtaMes,221.7472543,230.6808914,213.757699,229.5089426,226.6147637,226.1561509,229.272305,227.0626058,232.7495856,232.155878,222.4927184,229.4572635
106,F,2017,2017,Cerro Navia 110,0,F,EtaMes,80.74238665,83.56737806,81.86725889,83.67153533,84.25694931,78.58960109,85.06456782,81.76674807,86.89252759,91.31501955,83.69975966,86.23753048
107,F,2018,2018,Cerro Navia 110,0,F,EtaMes,86.06811662,89.06639279,87.26845778,89.18470898,89.8125478,83.74368752,90.65935641,87.1601156,92.61505894,85.52075704,78.15614398,79.91950824
108,F,2019,2019,Cerro Navia 110,0,F,EtaMes,80.37512741,83.2827913,81.3649076,83.18906112,83.80091861,78.70482015,85.00395342,81.17864005,86.61906666,85.22477588,77.82113372,79.36536662
109,F,2020,2020,Cerro Navia 110,0,F,EtaMes,80.06817677,83.02166693,81.07257058,83.0060371,83.56257466,78.50344736,84.65918837,80.79389562,86.30239545,85.46714173,78.03555795,79.50032162
110,F,2021,2021,Cerro Navia 110,0,F,EtaMes,80.2947782,83.24735047,81.29506389,83.22232065,83.77201579,78.71256529,84.89906081,80.96391815,86.51300889,86.80266581,79.25028479,80.72234965
111,F,2022,2022,Cerro Navia 110,0,F,EtaMes,81.5482923,84.53697791,82.55497579,84.51268314,85.07842369,79.93374101,86.21762263,82.2144677,87.85971288,87.91596477,80.26061702,81.72548604
112,F,2023,2023,Cerro Navia 110,0,F,EtaMes,82.59210603,85.60800904,83.60153162,85.58273039,86.16101429,80.94753391,87.31490895,83.24622124,88.97542649,89.62893136,81.81724226,83.29539516
113,F,2024,2024,Cerro Navia 110,0,F,EtaMes,84.1979804,87.26190145,85.21444247,87.23721979,87.83574324,82.51456589,89.00433654,84.85230764,90.70443047,92.07116188,84.03952102,85.54637126
114,F,2025,2025,Cerro Navia 110,0,F,EtaMes,86.48889022,89.6244133,87.52038033,89.60060792,90.22504523,84.75169474,91.41730714,87.15032968,93.17125991,93.65659338,85.32425632,86.70627173
115,F,2026,2026,Cerro Navia 110,0,F,EtaMes,87.84130135,91.02697463,88.67760414,90.97960684,91.6822384,86.16380467,92.7737631,88.47903529,94.80291833,96.55785513,87.96669403,89.38776977
116,F,2027,2027,Cerro Navia 110,0,F,EtaMes,90.5646533,93.83558947,91.42220095,93.78970945,94.52203082,88.82210776,95.64344049,91.21320704,97.73337318,99.44315614,90.59464389,92.04750837
117,F,2028,2028,Cerro Navia 110,0,F,EtaMes,93.2734455,96.62995924,94.152088,96.58503553,97.34638223,91.46680941,98.49805768,93.92848189,100.6472033,102.345049,93.23756165,94.73068137
